observable,domain,geometry,numeric,value,target,residual_pct,status,owner_geometry,primary_source
CM_XY_3D_nu_exponent,CM,qcalcgeom,symbolic,,0.6666666666666666,,GAP,bsfg,PAPER_1167
CM_XY_3D_nu_exponent,CM,qcalcgeom,numerical,,0.6666666666666666,,GAP,bsfg,PAPER_1167
CM_XY_3D_nu_exponent,CM,qcalcgeom,discrete,,0.6666666666666666,,GAP,bsfg,PAPER_1167
CM_XY_3D_nu_exponent,CM,bsfg,symbolic,0.6666666666666666,0.6666666666666666,0.000000,EXACT,bsfg,PAPER_1167
CM_XY_3D_nu_exponent,CM,bsfg,numerical,0.6666666666666666,0.6666666666666666,0.000000,EXACT,bsfg,PAPER_1167
CM_XY_3D_nu_exponent,CM,bsfg,discrete,0.6666666666666666,0.6666666666666666,0.000000,EXACT,bsfg,PAPER_1167
CM_XY_3D_nu_exponent,CM,dpm,symbolic,,0.6666666666666666,,GAP,bsfg,PAPER_1167
CM_XY_3D_nu_exponent,CM,dpm,numerical,,0.6666666666666666,,GAP,bsfg,PAPER_1167
CM_XY_3D_nu_exponent,CM,dpm,discrete,,0.6666666666666666,,GAP,bsfg,PAPER_1167
CM_XY_3D_nu_exponent,CM,d26,symbolic,,0.6666666666666666,,GAP,bsfg,PAPER_1167
CM_XY_3D_nu_exponent,CM,d26,numerical,,0.6666666666666666,,GAP,bsfg,PAPER_1167
CM_XY_3D_nu_exponent,CM,d26,discrete,,0.6666666666666666,,GAP,bsfg,PAPER_1167
CM_log_R_K_von_Klitzing,CM,qcalcgeom,symbolic,,4.411835234234881,,GAP,dpm,PAPER_1167
CM_log_R_K_von_Klitzing,CM,qcalcgeom,numerical,,4.411835234234881,,GAP,dpm,PAPER_1167
CM_log_R_K_von_Klitzing,CM,qcalcgeom,discrete,,4.411835234234881,,GAP,dpm,PAPER_1167
CM_log_R_K_von_Klitzing,CM,bsfg,symbolic,,4.411835234234881,,GAP,dpm,PAPER_1167
CM_log_R_K_von_Klitzing,CM,bsfg,numerical,,4.411835234234881,,GAP,dpm,PAPER_1167
