"Class","File"
"AntennaeGalaxies","source23.cpp"
"HorseheadNebula","source24.cpp"
"NGC1275","source25.cpp"
"HUDFGalaxies","source26.cpp"
"GalaxyNGC1792","source27.cpp"
"AndromedaUQFFModule","source28.cpp"
"SombreroUQFFModule","source29.cpp"
"SaturnUQFFModule","source30.cpp"
"M16UQFFModule","source31.cpp"
"CrabUQFFModule","source32.cpp"
"SGR1745UQFFModule","source33.cpp"
"SgrA_UQFFModule","source35.cpp"
"TapestryUQFFModule","source36.cpp"
"ResonanceSuperconductiveUQFFModule","source37.cpp"
"CompressedResonanceUQFFModule","source38.cpp"
"CrabResonanceUQFFModule","source39.cpp"
"UQFFModule4","source4.cpp"
"FluidSolver","source4.cpp"
"CompressedResonanceUQFF24Module","source40.cpp"
"UniverseDiameterUQFFModule","source41.cpp"
"HydrogenAtomUQFFModule","source42.cpp"
