"Term","Class","Method","File"
"J1610UQFFModule::computeIntegrand","J1610UQFFModule","computeIntegrand","source141.cpp"
"J1610UQFFModule::computeDPM_resonance","J1610UQFFModule","computeDPM_resonance","source141.cpp"
"J1610UQFFModule::computeX2","J1610UQFFModule","computeX2","source141.cpp"
"J1610UQFFModule::computeQuadraticRoot","J1610UQFFModule","computeQuadraticRoot","source141.cpp"
"J1610UQFFModule::computeLENRTerm","J1610UQFFModule","computeLENRTerm","source141.cpp"
"J1610UQFFModule::computeG","J1610UQFFModule","computeG","source141.cpp"
"J1610UQFFModule::computeQ_wave","J1610UQFFModule","computeQ_wave","source141.cpp"
"J1610UQFFModule::computeUb1","J1610UQFFModule","computeUb1","source141.cpp"
"J1610UQFFModule::computeUi","J1610UQFFModule","computeUi","source141.cpp"
"J1610UQFFModule::computeF","J1610UQFFModule","computeF","source141.cpp"
"J1610UQFFModule::computeCompressed","J1610UQFFModule","computeCompressed","source141.cpp"
"J1610UQFFModule::computeResonant","J1610UQFFModule","computeResonant","source141.cpp"
"J1610UQFFModule::computeBuoyancy","J1610UQFFModule","computeBuoyancy","source141.cpp"
"J1610UQFFModule::computeSuperconductive","J1610UQFFModule","computeSuperconductive","source141.cpp"
"J1610UQFFModule::computeCompressedG","J1610UQFFModule","computeCompressedG","source141.cpp"
"JupiterAuroraeUQFFModule::computeIntegrand","JupiterAuroraeUQFFModule","computeIntegrand","source142.cpp"
"JupiterAuroraeUQFFModule::computeDPM_resonance","JupiterAuroraeUQFFModule","computeDPM_resonance","source142.cpp"
"JupiterAuroraeUQFFModule::computeX2","JupiterAuroraeUQFFModule","computeX2","source142.cpp"
"JupiterAuroraeUQFFModule::computeQuadraticRoot","JupiterAuroraeUQFFModule","computeQuadraticRoot","source142.cpp"
"JupiterAuroraeUQFFModule::computeLENRTerm","JupiterAuroraeUQFFModule","computeLENRTerm","source142.cpp"
"JupiterAuroraeUQFFModule::computeG","JupiterAuroraeUQFFModule","computeG","source142.cpp"
"JupiterAuroraeUQFFModule::computeQ_wave","JupiterAuroraeUQFFModule","computeQ_wave","source142.cpp"
"JupiterAuroraeUQFFModule::computeUb1","JupiterAuroraeUQFFModule","computeUb1","source142.cpp"
"JupiterAuroraeUQFFModule::computeUi","JupiterAuroraeUQFFModule","computeUi","source142.cpp"
"JupiterAuroraeUQFFModule::computeF","JupiterAuroraeUQFFModule","computeF","source142.cpp"
"JupiterAuroraeUQFFModule::computeCompressed","JupiterAuroraeUQFFModule","computeCompressed","source142.cpp"
"JupiterAuroraeUQFFModule::computeResonant","JupiterAuroraeUQFFModule","computeResonant","source142.cpp"
"JupiterAuroraeUQFFModule::computeBuoyancy","JupiterAuroraeUQFFModule","computeBuoyancy","source142.cpp"
"JupiterAuroraeUQFFModule::computeSuperconductive","JupiterAuroraeUQFFModule","computeSuperconductive","source142.cpp"
"JupiterAuroraeUQFFModule::computeCompressedG","JupiterAuroraeUQFFModule","computeCompressedG","source142.cpp"
"LagoonNebulaUQFFModule::computeIntegrand","LagoonNebulaUQFFModule","computeIntegrand","Source143.cpp"
"LagoonNebulaUQFFModule::computeDPM_resonance","LagoonNebulaUQFFModule","computeDPM_resonance","Source143.cpp"
"LagoonNebulaUQFFModule::computeX2","LagoonNebulaUQFFModule","computeX2","Source143.cpp"
"LagoonNebulaUQFFModule::computeQuadraticRoot","LagoonNebulaUQFFModule","computeQuadraticRoot","Source143.cpp"
"LagoonNebulaUQFFModule::computeLENRTerm","LagoonNebulaUQFFModule","computeLENRTerm","Source143.cpp"
"LagoonNebulaUQFFModule::computeG","LagoonNebulaUQFFModule","computeG","Source143.cpp"
"LagoonNebulaUQFFModule::computeQ_wave","LagoonNebulaUQFFModule","computeQ_wave","Source143.cpp"
"LagoonNebulaUQFFModule::computeUb1","LagoonNebulaUQFFModule","computeUb1","Source143.cpp"
"LagoonNebulaUQFFModule::computeUi","LagoonNebulaUQFFModule","computeUi","Source143.cpp"
"LagoonNebulaUQFFModule::computeF","LagoonNebulaUQFFModule","computeF","Source143.cpp"
"LagoonNebulaUQFFModule::computeCompressed","LagoonNebulaUQFFModule","computeCompressed","Source143.cpp"
"LagoonNebulaUQFFModule::computeResonant","LagoonNebulaUQFFModule","computeResonant","Source143.cpp"
"LagoonNebulaUQFFModule::computeBuoyancy","LagoonNebulaUQFFModule","computeBuoyancy","Source143.cpp"
"LagoonNebulaUQFFModule::computeSuperconductive","LagoonNebulaUQFFModule","computeSuperconductive","Source143.cpp"
"LagoonNebulaUQFFModule::computeCompressedG","LagoonNebulaUQFFModule","computeCompressedG","Source143.cpp"
"LagoonNebulaUQFFModule::computeIntegrand","LagoonNebulaUQFFModule","computeIntegrand","source144.cpp"
"LagoonNebulaUQFFModule::computeDPM_resonance","LagoonNebulaUQFFModule","computeDPM_resonance","source144.cpp"
"LagoonNebulaUQFFModule::computeX2","LagoonNebulaUQFFModule","computeX2","source144.cpp"
"LagoonNebulaUQFFModule::computeQuadraticRoot","LagoonNebulaUQFFModule","computeQuadraticRoot","source144.cpp"
"LagoonNebulaUQFFModule::computeLENRTerm","LagoonNebulaUQFFModule","computeLENRTerm","source144.cpp"
"LagoonNebulaUQFFModule::computeG","LagoonNebulaUQFFModule","computeG","source144.cpp"
"LagoonNebulaUQFFModule::computeQ_wave","LagoonNebulaUQFFModule","computeQ_wave","source144.cpp"
"LagoonNebulaUQFFModule::computeUb1","LagoonNebulaUQFFModule","computeUb1","source144.cpp"
"LagoonNebulaUQFFModule::computeUi","LagoonNebulaUQFFModule","computeUi","source144.cpp"
"LagoonNebulaUQFFModule::computeF","LagoonNebulaUQFFModule","computeF","source144.cpp"
"LagoonNebulaUQFFModule::computeCompressed","LagoonNebulaUQFFModule","computeCompressed","source144.cpp"
"LagoonNebulaUQFFModule::computeResonant","LagoonNebulaUQFFModule","computeResonant","source144.cpp"
"LagoonNebulaUQFFModule::computeBuoyancy","LagoonNebulaUQFFModule","computeBuoyancy","source144.cpp"
"LagoonNebulaUQFFModule::computeSuperconductive","LagoonNebulaUQFFModule","computeSuperconductive","source144.cpp"
"LagoonNebulaUQFFModule::computeCompressedG","LagoonNebulaUQFFModule","computeCompressedG","source144.cpp"
"M87JetUQFFModule::computeIntegrand","M87JetUQFFModule","computeIntegrand","source145.cpp"
"M87JetUQFFModule::computeDPM_resonance","M87JetUQFFModule","computeDPM_resonance","source145.cpp"
"M87JetUQFFModule::computeX2","M87JetUQFFModule","computeX2","source145.cpp"
"M87JetUQFFModule::computeQuadraticRoot","M87JetUQFFModule","computeQuadraticRoot","source145.cpp"
"M87JetUQFFModule::computeLENRTerm","M87JetUQFFModule","computeLENRTerm","source145.cpp"
"M87JetUQFFModule::computeG","M87JetUQFFModule","computeG","source145.cpp"
"M87JetUQFFModule::computeQ_wave","M87JetUQFFModule","computeQ_wave","source145.cpp"
"M87JetUQFFModule::computeUb1","M87JetUQFFModule","computeUb1","source145.cpp"
"M87JetUQFFModule::computeUi","M87JetUQFFModule","computeUi","source145.cpp"
"M87JetUQFFModule::computeF","M87JetUQFFModule","computeF","source145.cpp"
"M87JetUQFFModule::computeCompressed","M87JetUQFFModule","computeCompressed","source145.cpp"
"M87JetUQFFModule::computeResonant","M87JetUQFFModule","computeResonant","source145.cpp"
"M87JetUQFFModule::computeBuoyancy","M87JetUQFFModule","computeBuoyancy","source145.cpp"
"M87JetUQFFModule::computeSuperconductive","M87JetUQFFModule","computeSuperconductive","source145.cpp"
"M87JetUQFFModule::computeCompressedG","M87JetUQFFModule","computeCompressedG","source145.cpp"
"NGC1365UQFFModule::computeIntegrand","NGC1365UQFFModule","computeIntegrand","source146.cpp"
"NGC1365UQFFModule::computeDPM_resonance","NGC1365UQFFModule","computeDPM_resonance","source146.cpp"
"NGC1365UQFFModule::computeX2","NGC1365UQFFModule","computeX2","source146.cpp"
"NGC1365UQFFModule::computeQuadraticRoot","NGC1365UQFFModule","computeQuadraticRoot","source146.cpp"
"NGC1365UQFFModule::computeLENRTerm","NGC1365UQFFModule","computeLENRTerm","source146.cpp"
"NGC1365UQFFModule::computeG","NGC1365UQFFModule","computeG","source146.cpp"
"NGC1365UQFFModule::computeQ_wave","NGC1365UQFFModule","computeQ_wave","source146.cpp"
"NGC1365UQFFModule::computeUb1","NGC1365UQFFModule","computeUb1","source146.cpp"
"NGC1365UQFFModule::computeUi","NGC1365UQFFModule","computeUi","source146.cpp"
"NGC1365UQFFModule::computeF","NGC1365UQFFModule","computeF","source146.cpp"
"NGC1365UQFFModule::computeCompressed","NGC1365UQFFModule","computeCompressed","source146.cpp"
"NGC1365UQFFModule::computeResonant","NGC1365UQFFModule","computeResonant","source146.cpp"
"NGC1365UQFFModule::computeBuoyancy","NGC1365UQFFModule","computeBuoyancy","source146.cpp"
"NGC1365UQFFModule::computeSuperconductive","NGC1365UQFFModule","computeSuperconductive","source146.cpp"
"NGC1365UQFFModule::computeCompressedG","NGC1365UQFFModule","computeCompressedG","source146.cpp"
"NGC2207UQFFModule::computeIntegrand","NGC2207UQFFModule","computeIntegrand","source147.cpp"
"NGC2207UQFFModule::computeDPM_resonance","NGC2207UQFFModule","computeDPM_resonance","source147.cpp"
"NGC2207UQFFModule::computeX2","NGC2207UQFFModule","computeX2","source147.cpp"
"NGC2207UQFFModule::computeQuadraticRoot","NGC2207UQFFModule","computeQuadraticRoot","source147.cpp"
"NGC2207UQFFModule::computeLENRTerm","NGC2207UQFFModule","computeLENRTerm","source147.cpp"
"NGC2207UQFFModule::computeG","NGC2207UQFFModule","computeG","source147.cpp"
"NGC2207UQFFModule::computeQ_wave","NGC2207UQFFModule","computeQ_wave","source147.cpp"
"NGC2207UQFFModule::computeUb1","NGC2207UQFFModule","computeUb1","source147.cpp"
"NGC2207UQFFModule::computeUi","NGC2207UQFFModule","computeUi","source147.cpp"
"NGC2207UQFFModule::computeF","NGC2207UQFFModule","computeF","source147.cpp"
"NGC2207UQFFModule::computeCompressed","NGC2207UQFFModule","computeCompressed","source147.cpp"
"NGC2207UQFFModule::computeResonant","NGC2207UQFFModule","computeResonant","source147.cpp"
"NGC2207UQFFModule::computeBuoyancy","NGC2207UQFFModule","computeBuoyancy","source147.cpp"
"NGC2207UQFFModule::computeSuperconductive","NGC2207UQFFModule","computeSuperconductive","source147.cpp"
"NGC2207UQFFModule::computeCompressedG","NGC2207UQFFModule","computeCompressedG","source147.cpp"
"RAquariiUQFFModule::computeIntegrand","RAquariiUQFFModule","computeIntegrand","source148.cpp"
"RAquariiUQFFModule::computeDPM_resonance","RAquariiUQFFModule","computeDPM_resonance","source148.cpp"
"RAquariiUQFFModule::computeX2","RAquariiUQFFModule","computeX2","source148.cpp"
"RAquariiUQFFModule::computeQuadraticRoot","RAquariiUQFFModule","computeQuadraticRoot","source148.cpp"
"RAquariiUQFFModule::computeLENRTerm","RAquariiUQFFModule","computeLENRTerm","source148.cpp"
"RAquariiUQFFModule::computeG","RAquariiUQFFModule","computeG","source148.cpp"
"RAquariiUQFFModule::computeQ_wave","RAquariiUQFFModule","computeQ_wave","source148.cpp"
"RAquariiUQFFModule::computeUb1","RAquariiUQFFModule","computeUb1","source148.cpp"
"RAquariiUQFFModule::computeUi","RAquariiUQFFModule","computeUi","source148.cpp"
"RAquariiUQFFModule::computeF","RAquariiUQFFModule","computeF","source148.cpp"
"RAquariiUQFFModule::computeCompressed","RAquariiUQFFModule","computeCompressed","source148.cpp"
"RAquariiUQFFModule::computeResonant","RAquariiUQFFModule","computeResonant","source148.cpp"
"RAquariiUQFFModule::computeBuoyancy","RAquariiUQFFModule","computeBuoyancy","source148.cpp"
"RAquariiUQFFModule::computeSuperconductive","RAquariiUQFFModule","computeSuperconductive","source148.cpp"
"RAquariiUQFFModule::computeCompressedG","RAquariiUQFFModule","computeCompressedG","source148.cpp"
"SgrAStarUQFFModule::computeIntegrand","SgrAStarUQFFModule","computeIntegrand","source149.cpp"
"SgrAStarUQFFModule::computeDPM_resonance","SgrAStarUQFFModule","computeDPM_resonance","source149.cpp"
"SgrAStarUQFFModule::computeX2","SgrAStarUQFFModule","computeX2","source149.cpp"
"SgrAStarUQFFModule::computeQuadraticRoot","SgrAStarUQFFModule","computeQuadraticRoot","source149.cpp"
"SgrAStarUQFFModule::computeLENRTerm","SgrAStarUQFFModule","computeLENRTerm","source149.cpp"
"SgrAStarUQFFModule::computeG","SgrAStarUQFFModule","computeG","source149.cpp"
"SgrAStarUQFFModule::computeQ_wave","SgrAStarUQFFModule","computeQ_wave","source149.cpp"
"SgrAStarUQFFModule::computeUb1","SgrAStarUQFFModule","computeUb1","source149.cpp"
"SgrAStarUQFFModule::computeUi","SgrAStarUQFFModule","computeUi","source149.cpp"
"SgrAStarUQFFModule::computeF","SgrAStarUQFFModule","computeF","source149.cpp"
"SgrAStarUQFFModule::computeCompressed","SgrAStarUQFFModule","computeCompressed","source149.cpp"
"SgrAStarUQFFModule::computeResonant","SgrAStarUQFFModule","computeResonant","source149.cpp"
"SgrAStarUQFFModule::computeBuoyancy","SgrAStarUQFFModule","computeBuoyancy","source149.cpp"
"SgrAStarUQFFModule::computeSuperconductive","SgrAStarUQFFModule","computeSuperconductive","source149.cpp"
"SgrAStarUQFFModule::computeCompressedG","SgrAStarUQFFModule","computeCompressedG","source149.cpp"
"SMBHSgrAStar::compute_Ug","SMBHSgrAStar","compute_Ug","source15.cpp"
"SMBHSgrAStar::compute_V","SMBHSgrAStar","compute_V","source15.cpp"
"SMBHSgrAStar::compute_g_SgrA","SMBHSgrAStar","compute_g_SgrA","source15.cpp"
"SPTCLJ2215UQFFModule::computeIntegrand","SPTCLJ2215UQFFModule","computeIntegrand","source150.cpp"
"SPTCLJ2215UQFFModule::computeDPM_resonance","SPTCLJ2215UQFFModule","computeDPM_resonance","source150.cpp"
"SPTCLJ2215UQFFModule::computeX2","SPTCLJ2215UQFFModule","computeX2","source150.cpp"
"SPTCLJ2215UQFFModule::computeQuadraticRoot","SPTCLJ2215UQFFModule","computeQuadraticRoot","source150.cpp"
"SPTCLJ2215UQFFModule::computeLENRTerm","SPTCLJ2215UQFFModule","computeLENRTerm","source150.cpp"
"SPTCLJ2215UQFFModule::computeG","SPTCLJ2215UQFFModule","computeG","source150.cpp"
"SPTCLJ2215UQFFModule::computeQ_wave","SPTCLJ2215UQFFModule","computeQ_wave","source150.cpp"
"SPTCLJ2215UQFFModule::computeUb1","SPTCLJ2215UQFFModule","computeUb1","source150.cpp"
"SPTCLJ2215UQFFModule::computeUi","SPTCLJ2215UQFFModule","computeUi","source150.cpp"
"SPTCLJ2215UQFFModule::computeF","SPTCLJ2215UQFFModule","computeF","source150.cpp"
"SPTCLJ2215UQFFModule::computeCompressed","SPTCLJ2215UQFFModule","computeCompressed","source150.cpp"
"SPTCLJ2215UQFFModule::computeResonant","SPTCLJ2215UQFFModule","computeResonant","source150.cpp"
"SPTCLJ2215UQFFModule::computeBuoyancy","SPTCLJ2215UQFFModule","computeBuoyancy","source150.cpp"
"SPTCLJ2215UQFFModule::computeSuperconductive","SPTCLJ2215UQFFModule","computeSuperconductive","source150.cpp"
"SPTCLJ2215UQFFModule::computeCompressedG","SPTCLJ2215UQFFModule","computeCompressedG","source150.cpp"
"StephanQuintetUQFFModule::computeIntegrand","StephanQuintetUQFFModule","computeIntegrand","source151.cpp"
"StephanQuintetUQFFModule::computeDPM_resonance","StephanQuintetUQFFModule","computeDPM_resonance","source151.cpp"
"StephanQuintetUQFFModule::computeX2","StephanQuintetUQFFModule","computeX2","source151.cpp"
"StephanQuintetUQFFModule::computeQuadraticRoot","StephanQuintetUQFFModule","computeQuadraticRoot","source151.cpp"
"StephanQuintetUQFFModule::computeLENRTerm","StephanQuintetUQFFModule","computeLENRTerm","source151.cpp"
"StephanQuintetUQFFModule::computeG","StephanQuintetUQFFModule","computeG","source151.cpp"
"StephanQuintetUQFFModule::computeQ_wave","StephanQuintetUQFFModule","computeQ_wave","source151.cpp"
"StephanQuintetUQFFModule::computeUb1","StephanQuintetUQFFModule","computeUb1","source151.cpp"
"StephanQuintetUQFFModule::computeUi","StephanQuintetUQFFModule","computeUi","source151.cpp"
"StephanQuintetUQFFModule::computeF","StephanQuintetUQFFModule","computeF","source151.cpp"
"StephanQuintetUQFFModule::computeCompressed","StephanQuintetUQFFModule","computeCompressed","source151.cpp"
"StephanQuintetUQFFModule::computeResonant","StephanQuintetUQFFModule","computeResonant","source151.cpp"
"StephanQuintetUQFFModule::computeBuoyancy","StephanQuintetUQFFModule","computeBuoyancy","source151.cpp"
"StephanQuintetUQFFModule::computeSuperconductive","StephanQuintetUQFFModule","computeSuperconductive","source151.cpp"
"StephanQuintetUQFFModule::computeCompressedG","StephanQuintetUQFFModule","computeCompressedG","source151.cpp"
"VelaPulsarUQFFModule::computeIntegrand","VelaPulsarUQFFModule","computeIntegrand","source152.cpp"
"VelaPulsarUQFFModule::computeDPM_resonance","VelaPulsarUQFFModule","computeDPM_resonance","source152.cpp"
"VelaPulsarUQFFModule::computeX2","VelaPulsarUQFFModule","computeX2","source152.cpp"
"VelaPulsarUQFFModule::computeQuadraticRoot","VelaPulsarUQFFModule","computeQuadraticRoot","source152.cpp"
"VelaPulsarUQFFModule::computeLENRTerm","VelaPulsarUQFFModule","computeLENRTerm","source152.cpp"
"VelaPulsarUQFFModule::computeG","VelaPulsarUQFFModule","computeG","source152.cpp"
"VelaPulsarUQFFModule::computeQ_wave","VelaPulsarUQFFModule","computeQ_wave","source152.cpp"
"VelaPulsarUQFFModule::computeUb1","VelaPulsarUQFFModule","computeUb1","source152.cpp"
"VelaPulsarUQFFModule::computeUi","VelaPulsarUQFFModule","computeUi","source152.cpp"
"VelaPulsarUQFFModule::computeF","VelaPulsarUQFFModule","computeF","source152.cpp"
"VelaPulsarUQFFModule::computeCompressed","VelaPulsarUQFFModule","computeCompressed","source152.cpp"
"VelaPulsarUQFFModule::computeResonant","VelaPulsarUQFFModule","computeResonant","source152.cpp"
"VelaPulsarUQFFModule::computeBuoyancy","VelaPulsarUQFFModule","computeBuoyancy","source152.cpp"
"VelaPulsarUQFFModule::computeSuperconductive","VelaPulsarUQFFModule","computeSuperconductive","source152.cpp"
"VelaPulsarUQFFModule::computeCompressedG","VelaPulsarUQFFModule","computeCompressedG","source152.cpp"
"Abell2256UQFFModule::computeIntegrand","Abell2256UQFFModule","computeIntegrand","source153.cpp"
"Abell2256UQFFModule::computeDPM_resonance","Abell2256UQFFModule","computeDPM_resonance","source153.cpp"
"Abell2256UQFFModule::computeX2","Abell2256UQFFModule","computeX2","source153.cpp"
"Abell2256UQFFModule::computeQuadraticRoot","Abell2256UQFFModule","computeQuadraticRoot","source153.cpp"
"Abell2256UQFFModule::computeLENRTerm","Abell2256UQFFModule","computeLENRTerm","source153.cpp"
"Abell2256UQFFModule::computeG","Abell2256UQFFModule","computeG","source153.cpp"
"Abell2256UQFFModule::computeQ_wave","Abell2256UQFFModule","computeQ_wave","source153.cpp"
"Abell2256UQFFModule::computeUb1","Abell2256UQFFModule","computeUb1","source153.cpp"
"Abell2256UQFFModule::computeUi","Abell2256UQFFModule","computeUi","source153.cpp"
"Abell2256UQFFModule::computeF","Abell2256UQFFModule","computeF","source153.cpp"
"Abell2256UQFFModule::computeCompressed","Abell2256UQFFModule","computeCompressed","source153.cpp"
"Abell2256UQFFModule::computeResonant","Abell2256UQFFModule","computeResonant","source153.cpp"
"Abell2256UQFFModule::computeBuoyancy","Abell2256UQFFModule","computeBuoyancy","source153.cpp"
"Abell2256UQFFModule::computeSuperconductive","Abell2256UQFFModule","computeSuperconductive","source153.cpp"
"Abell2256UQFFModule::computeCompressedG","Abell2256UQFFModule","computeCompressedG","source153.cpp"
"HydrogenResonanceUQFFModule::computeA_res","HydrogenResonanceUQFFModule","computeA_res","Source154.cpp"
"HydrogenResonanceUQFFModule::computeF_res","HydrogenResonanceUQFFModule","computeF_res","Source154.cpp"
"HydrogenResonanceUQFFModule::computeU_dp","HydrogenResonanceUQFFModule","computeU_dp","Source154.cpp"
"HydrogenResonanceUQFFModule::computeK_nuc","HydrogenResonanceUQFFModule","computeK_nuc","Source154.cpp"
"HydrogenResonanceUQFFModule::computeS_shell","HydrogenResonanceUQFFModule","computeS_shell","Source154.cpp"
"HydrogenResonanceUQFFModule::computeH_res_integrand","HydrogenResonanceUQFFModule","computeH_res_integrand","Source154.cpp"
"HydrogenResonanceUQFFModule::computeX2","HydrogenResonanceUQFFModule","computeX2","Source154.cpp"
"HydrogenResonanceUQFFModule::computeHRes","HydrogenResonanceUQFFModule","computeHRes","Source154.cpp"
"HydrogenResonanceUQFFModule::computeCompressed","HydrogenResonanceUQFFModule","computeCompressed","Source154.cpp"
"HydrogenResonanceUQFFModule::computeResonant","HydrogenResonanceUQFFModule","computeResonant","Source154.cpp"
"HydrogenResonanceUQFFModule::computeBuoyancy","HydrogenResonanceUQFFModule","computeBuoyancy","Source154.cpp"
"HydrogenResonanceUQFFModule::computeSuperconductive","HydrogenResonanceUQFFModule","computeSuperconductive","Source154.cpp"
"HydrogenResonanceUQFFModule::computeCompressedG","HydrogenResonanceUQFFModule","computeCompressedG","Source154.cpp"
"SurfaceMagneticFieldModule::computeB_j","SurfaceMagneticFieldModule","computeB_j","Source154.cpp"
"SurfaceMagneticFieldModule::computeB_j","SurfaceMagneticFieldModule","computeB_j","Source154.cpp"
"UQFFBuoyancyModule::computeIntegrand","UQFFBuoyancyModule","computeIntegrand","Source155.cpp"
"UQFFBuoyancyModule::computeDPM_resonance","UQFFBuoyancyModule","computeDPM_resonance","Source155.cpp"
"UQFFBuoyancyModule::computeX2","UQFFBuoyancyModule","computeX2","Source155.cpp"
"UQFFBuoyancyModule::computeQuadraticRoot","UQFFBuoyancyModule","computeQuadraticRoot","Source155.cpp"
"UQFFBuoyancyModule::computeLENRTerm","UQFFBuoyancyModule","computeLENRTerm","Source155.cpp"
"UQFFBuoyancyModule::computeG","UQFFBuoyancyModule","computeG","Source155.cpp"
"UQFFBuoyancyModule::computeQ_wave","UQFFBuoyancyModule","computeQ_wave","Source155.cpp"
"UQFFBuoyancyModule::computeUb1","UQFFBuoyancyModule","computeUb1","Source155.cpp"
"UQFFBuoyancyModule::computeUi","UQFFBuoyancyModule","computeUi","Source155.cpp"
"UQFFBuoyancyModule::computeFBi","UQFFBuoyancyModule","computeFBi","Source155.cpp"
"UQFFBuoyancyModule::computeCompressed","UQFFBuoyancyModule","computeCompressed","Source155.cpp"
"UQFFBuoyancyModule::computeResonant","UQFFBuoyancyModule","computeResonant","Source155.cpp"
"UQFFBuoyancyModule::computeBuoyancy","UQFFBuoyancyModule","computeBuoyancy","Source155.cpp"
"UQFFBuoyancyModule::computeSuperconductive","UQFFBuoyancyModule","computeSuperconductive","Source155.cpp"
"UQFFBuoyancyModule::computeCompressedG","UQFFBuoyancyModule","computeCompressedG","Source155.cpp"
"SurfaceMagneticFieldModule::computeB_s_min","SurfaceMagneticFieldModule","computeB_s_min","Source155.cpp"
"SurfaceMagneticFieldModule::computeB_s_max","SurfaceMagneticFieldModule","computeB_s_max","Source155.cpp"
"UQFFBuoyancyCNBModule::computeIntegrand","UQFFBuoyancyCNBModule","computeIntegrand","Source156.cpp"
"UQFFBuoyancyCNBModule::computeDPM_resonance","UQFFBuoyancyCNBModule","computeDPM_resonance","Source156.cpp"
"UQFFBuoyancyCNBModule::computeX2","UQFFBuoyancyCNBModule","computeX2","Source156.cpp"
"UQFFBuoyancyCNBModule::computeQuadraticRoot","UQFFBuoyancyCNBModule","computeQuadraticRoot","Source156.cpp"
"UQFFBuoyancyCNBModule::computeLENRTerm","UQFFBuoyancyCNBModule","computeLENRTerm","Source156.cpp"
"UQFFBuoyancyCNBModule::computeG","UQFFBuoyancyCNBModule","computeG","Source156.cpp"
"UQFFBuoyancyCNBModule::computeQ_wave","UQFFBuoyancyCNBModule","computeQ_wave","Source156.cpp"
"UQFFBuoyancyCNBModule::computeUb1","UQFFBuoyancyCNBModule","computeUb1","Source156.cpp"
"UQFFBuoyancyCNBModule::computeUi","UQFFBuoyancyCNBModule","computeUi","Source156.cpp"
"UQFFBuoyancyCNBModule::computeFBi","UQFFBuoyancyCNBModule","computeFBi","Source156.cpp"
"UQFFBuoyancyCNBModule::computeCompressed","UQFFBuoyancyCNBModule","computeCompressed","Source156.cpp"
"UQFFBuoyancyCNBModule::computeResonant","UQFFBuoyancyCNBModule","computeResonant","Source156.cpp"
"UQFFBuoyancyCNBModule::computeBuoyancy","UQFFBuoyancyCNBModule","computeBuoyancy","Source156.cpp"
"UQFFBuoyancyCNBModule::computeSuperconductive","UQFFBuoyancyCNBModule","computeSuperconductive","Source156.cpp"
"UQFFBuoyancyCNBModule::computeCompressedG","UQFFBuoyancyCNBModule","computeCompressedG","Source156.cpp"
"SurfaceMagneticFieldModule::computeGradient","SurfaceMagneticFieldModule","computeGradient","Source156.cpp"
"SurfaceMagneticFieldModule::computeB_j","SurfaceMagneticFieldModule","computeB_j","Source156.cpp"
"SurfaceMagneticFieldModule::computeB_s_min","SurfaceMagneticFieldModule","computeB_s_min","Source156.cpp"
"SurfaceMagneticFieldModule::computeB_s_max","SurfaceMagneticFieldModule","computeB_s_max","Source156.cpp"
"SurfaceMagneticFieldModule::computeU_g3_example","SurfaceMagneticFieldModule","computeU_g3_example","Source156.cpp"
"SurfaceMagneticFieldModule::computeCNB_MagneticCoupling","SurfaceMagneticFieldModule","computeCNB_MagneticCoupling","Source156.cpp"
"UQFFBuoyancyModule157::computeUb1","UQFFBuoyancyModule157","computeUb1","Source157.cpp"
"UQFFBuoyancyModule157::computeUi","UQFFBuoyancyModule157","computeUi","Source157.cpp"
"UQFFBuoyancyModule157::computeFBi","UQFFBuoyancyModule157","computeFBi","Source157.cpp"
"UQFFBuoyancyModule157::computeDPM_resonance","UQFFBuoyancyModule157","computeDPM_resonance","Source157.cpp"
"UQFFBuoyancyModule157::computeX2","UQFFBuoyancyModule157","computeX2","Source157.cpp"
"UQFFBuoyancyModule157::computeG","UQFFBuoyancyModule157","computeG","Source157.cpp"
"UQFFBuoyancyModule157::computeQ_wave","UQFFBuoyancyModule157","computeQ_wave","Source157.cpp"
"SurfaceMagneticFieldModule::computeGradient","SurfaceMagneticFieldModule","computeGradient","Source157.cpp"
"SurfaceMagneticFieldModule::computeB_j","SurfaceMagneticFieldModule","computeB_j","Source157.cpp"
"SurfaceMagneticFieldModule::computeB_s_min","SurfaceMagneticFieldModule","computeB_s_min","Source157.cpp"
"SurfaceMagneticFieldModule::computeB_s_max","SurfaceMagneticFieldModule","computeB_s_max","Source157.cpp"
"SurfaceMagneticFieldModule::computeU_g3_example","SurfaceMagneticFieldModule","computeU_g3_example","Source157.cpp"
"SurfaceMagneticFieldModule::computeObservationalCoupling","SurfaceMagneticFieldModule","computeObservationalCoupling","Source157.cpp"
"UQFFBuoyancyModule::computeIntegrand","UQFFBuoyancyModule","computeIntegrand","Source158.cpp"
"UQFFBuoyancyModule::computeDPM_resonance","UQFFBuoyancyModule","computeDPM_resonance","Source158.cpp"
"UQFFBuoyancyModule::computeX2","UQFFBuoyancyModule","computeX2","Source158.cpp"
"UQFFBuoyancyModule::computeQuadraticRoot","UQFFBuoyancyModule","computeQuadraticRoot","Source158.cpp"
"UQFFBuoyancyModule::computeLENRTerm","UQFFBuoyancyModule","computeLENRTerm","Source158.cpp"
"UQFFBuoyancyModule::computeG","UQFFBuoyancyModule","computeG","Source158.cpp"
"UQFFBuoyancyModule::computeQ_wave","UQFFBuoyancyModule","computeQ_wave","Source158.cpp"
"UQFFBuoyancyModule::computeUb1","UQFFBuoyancyModule","computeUb1","Source158.cpp"
"UQFFBuoyancyModule::computeUi","UQFFBuoyancyModule","computeUi","Source158.cpp"
