"Term","Class","Method","File"
"GalacticBlackHoleModule::computeMbhOverDg","GalacticBlackHoleModule","computeMbhOverDg","source105.cpp"
"GalacticBlackHoleModule::computeU_b1","GalacticBlackHoleModule","computeU_b1","source105.cpp"
"GalacticBlackHoleModule::computeU_g4","GalacticBlackHoleModule","computeU_g4","source105.cpp"
"GalacticBlackHoleModule::computeM_bh","GalacticBlackHoleModule","computeM_bh","source105.cpp"
"NegativeTimeModule::computeCosPiTn","NegativeTimeModule","computeCosPiTn","source106.cpp"
"NegativeTimeModule::computeExpTerm","NegativeTimeModule","computeExpTerm","source106.cpp"
"NegativeTimeModule::computeT_n","NegativeTimeModule","computeT_n","source106.cpp"
"NegativeTimeModule::computeExpTerm","NegativeTimeModule","computeExpTerm","source106.cpp"
"NegativeTimeModule::computeOneMinusExp","NegativeTimeModule","computeOneMinusExp","source106.cpp"
"NegativeTimeModule::computeUmExample","NegativeTimeModule","computeUmExample","source106.cpp"
"PiConstantModule::computeCosPiTn","PiConstantModule","computeCosPiTn","source107.cpp"
"PiConstantModule::computeSinOmegaCT","PiConstantModule","computeSinOmegaCT","source107.cpp"
"PiConstantModule::computeMuJExample","PiConstantModule","computeMuJExample","source107.cpp"
"PiConstantModule::computeUg1CosTerm","PiConstantModule","computeUg1CosTerm","source107.cpp"
"PiConstantModule::computePi","PiConstantModule","computePi","source107.cpp"
"CorePenetrationModule::computeU_g3","CorePenetrationModule","computeU_g3","source108.cpp"
"CorePenetrationModule::computeP_core","CorePenetrationModule","computeP_core","source108.cpp"
"CorePenetrationModule::computeU_g3_planet","CorePenetrationModule","computeU_g3_planet","source108.cpp"
"QuasiLongitudinalModule::computeQuasiFactor","QuasiLongitudinalModule","computeQuasiFactor","source109.cpp"
"QuasiLongitudinalModule::computeUmBase","QuasiLongitudinalModule","computeUmBase","source109.cpp"
"QuasiLongitudinalModule::computeUmContribution","QuasiLongitudinalModule","computeUmContribution","source109.cpp"
"QuasiLongitudinalModule::computeF_quasi","QuasiLongitudinalModule","computeF_quasi","source109.cpp"
"QuasiLongitudinalModule::computeUmWithNoQuasi","QuasiLongitudinalModule","computeUmWithNoQuasi","source109.cpp"
"OuterFieldBubbleModule::computeS_r_Rb","OuterFieldBubbleModule","computeS_r_Rb","source110.cpp"
"OuterFieldBubbleModule::computeU_g2","OuterFieldBubbleModule","computeU_g2","source110.cpp"
"OuterFieldBubbleModule::computeR_b","OuterFieldBubbleModule","computeR_b","source110.cpp"
"OuterFieldBubbleModule::computeR_bInAU","OuterFieldBubbleModule","computeR_bInAU","source110.cpp"
"ReciprocationDecayModule::computeGamma_s","ReciprocationDecayModule","computeGamma_s","source111.cpp"
"ReciprocationDecayModule::computeCosPiTn","ReciprocationDecayModule","computeCosPiTn","source111.cpp"
"ReciprocationDecayModule::computeExpTerm","ReciprocationDecayModule","computeExpTerm","source111.cpp"
"ReciprocationDecayModule::computeOneMinusExp","ReciprocationDecayModule","computeOneMinusExp","source111.cpp"
"ReciprocationDecayModule::computeGamma_day","ReciprocationDecayModule","computeGamma_day","source111.cpp"
"ReciprocationDecayModule::computeUmExample","ReciprocationDecayModule","computeUmExample","source111.cpp"
"ScmPenetrationModule::computeUmBase","ScmPenetrationModule","computeUmBase","source112.cpp"
"ScmPenetrationModule::computeUmContribution","ScmPenetrationModule","computeUmContribution","source112.cpp"
"ScmPenetrationModule::computeP_SCm","ScmPenetrationModule","computeP_SCm","source112.cpp"
"ScmPenetrationModule::computeUmPlanet","ScmPenetrationModule","computeUmPlanet","source112.cpp"
"ScmReactivityDecayModule::computeKappa_s","ScmReactivityDecayModule","computeKappa_s","source113.cpp"
"ScmReactivityDecayModule::computeE_react","ScmReactivityDecayModule","computeE_react","source113.cpp"
"ScmReactivityDecayModule::computeUmExample","ScmReactivityDecayModule","computeUmExample","source113.cpp"
