quantity,kind,detail
GR_Hulse_Taylor_ratio,odmap_gap,PAPER_1149
GR_Hulse_Taylor_ratio,odmap_gap,PAPER_1149
GR_Hulse_Taylor_ratio,odmap_gap,PAPER_1149
GR_Hulse_Taylor_ratio,odmap_gap,PAPER_1149
GR_Hulse_Taylor_ratio,odmap_gap,PAPER_1149
GR_Hulse_Taylor_ratio,odmap_gap,PAPER_1149
GR_Hulse_Taylor_ratio,odmap_gap,PAPER_1149
GR_Hulse_Taylor_ratio,odmap_gap,PAPER_1149
GR_Kerr_ISCO_extremal,odmap_gap,PAPER_1149
GR_Kerr_ISCO_extremal,odmap_gap,PAPER_1149
GR_Kerr_ISCO_extremal,odmap_gap,PAPER_1149
GR_Kerr_ISCO_extremal,odmap_gap,PAPER_1149
GR_Kerr_ISCO_extremal,odmap_gap,PAPER_1149
GR_Kerr_ISCO_extremal,odmap_gap,PAPER_1149
GR_Kerr_ISCO_extremal,odmap_gap,PAPER_1149
GR_Kerr_ISCO_extremal,odmap_gap,PAPER_1149
GR_Kerr_ISCO_extremal,odmap_gap,PAPER_1149
GR_Mercury_perihelion,odmap_gap,PAPER_1149
GR_Mercury_perihelion,odmap_gap,PAPER_1149
GR_Mercury_perihelion,odmap_gap,PAPER_1149
GR_Mercury_perihelion,odmap_gap,PAPER_1149
GR_Mercury_perihelion,odmap_gap,PAPER_1149
GR_Mercury_perihelion,odmap_gap,PAPER_1149
GR_Mercury_perihelion,odmap_gap,PAPER_1149
GR_Mercury_perihelion,odmap_gap,PAPER_1149
GR_Mercury_perihelion,odmap_gap,PAPER_1149
GR_NANOGrav_h_c,odmap_gap,PAPER_1149
GR_NANOGrav_h_c,odmap_gap,PAPER_1149
GR_NANOGrav_h_c,odmap_gap,PAPER_1149
GR_NANOGrav_h_c,odmap_gap,PAPER_1149
GR_NANOGrav_h_c,odmap_gap,PAPER_1149
GR_NANOGrav_h_c,odmap_gap,PAPER_1149
GR_NANOGrav_h_c,odmap_gap,PAPER_1149
GR_NANOGrav_h_c,odmap_gap,PAPER_1149
GR_NANOGrav_h_c,odmap_gap,PAPER_1149
