SourceFile,ClassName,LineNumber,BaseClass,PhysicsType,MethodSignature
source15_wolfram.cpp,SgrAStarRelativisticPrecessionTerm,459,PhysicsTerm,gravity,double compute(double t)
source16_wolfram.cpp,DynamicVacuumTerm,24,PhysicsTerm,vacuum,double compute(double t)
source16_wolfram.cpp,QuantumCouplingTerm,49,PhysicsTerm,vacuum,double compute(double t)
source16_wolfram.cpp,NGC2014BaseGravityTerm,77,PhysicsTerm,gravity,double compute(double t)
source16_wolfram.cpp,NGC2014UQFFUnificationTerm,115,PhysicsTerm,unified,double compute(double t)
source16_wolfram.cpp,NGC2014CosmologicalConstantTerm,150,PhysicsTerm,vacuum,double compute(double t)
source16_wolfram.cpp,NGC2014ElectromagneticTerm,166,PhysicsTerm,electromagnetic,double compute(double t)
source16_wolfram.cpp,NGC2014QuantumUncertaintyTerm,193,PhysicsTerm,quantum,double compute(double t)
source16_wolfram.cpp,NGC2014FluidDensityTerm,218,PhysicsTerm,fluid,double compute(double t)
source16_wolfram.cpp,NGC2014OscillatoryWaveTerm,246,PhysicsTerm,wave,double compute(double t)
source16_wolfram.cpp,NGC2014DarkMatterPerturbationTerm,271,PhysicsTerm,darkmatter,double compute(double t)
source16_wolfram.cpp,NGC2014WindFeedbackTerm,304,PhysicsTerm,stellar,double compute(double t)
source16_wolfram.cpp,NGC2014SupernovaMassLossTerm,330,PhysicsTerm,stellar,double compute(double t)
source16_wolfram.cpp,NGC2014PhotoionizationTerm,358,PhysicsTerm,radiation,double compute(double t)
source16_wolfram.cpp,NGC2014RadiationPressureTerm,387,PhysicsTerm,radiation,double compute(double t)
source16_wolfram.cpp,NGC2014HII_RegionExpansionTerm,416,PhysicsTerm,fluid,double compute(double t)
source16_wolfram.cpp,NGC2014DustScatteringTerm,445,PhysicsTerm,radiation,double compute(double t)
source16_wolfram.cpp,NGC2014BinaryStarOrbitTerm,474,PhysicsTerm,gravity,double compute(double t)
source17_wolfram.cpp,DynamicVacuumTerm,24,PhysicsTerm,vacuum,double compute(double t)
source17_wolfram.cpp,QuantumCouplingTerm,49,PhysicsTerm,vacuum,double compute(double t)
source17_wolfram.cpp,Westerlund2BaseGravityTerm,77,PhysicsTerm,gravity,double compute(double t)
source17_wolfram.cpp,Westerlund2UQFFUnificationTerm,115,PhysicsTerm,unified,double compute(double t)
source17_wolfram.cpp,Westerlund2CosmologicalConstantTerm,150,PhysicsTerm,vacuum,double compute(double t)
source17_wolfram.cpp,Westerlund2ElectromagneticTerm,166,PhysicsTerm,electromagnetic,double compute(double t)
source17_wolfram.cpp,Westerlund2QuantumUncertaintyTerm,193,PhysicsTerm,quantum,double compute(double t)
source17_wolfram.cpp,Westerlund2FluidDensityTerm,218,PhysicsTerm,fluid,double compute(double t)
source17_wolfram.cpp,Westerlund2OscillatoryWaveTerm,246,PhysicsTerm,wave,double compute(double t)
source17_wolfram.cpp,Westerlund2DarkMatterPerturbationTerm,271,PhysicsTerm,darkmatter,double compute(double t)
