paper,cited_by_files
PAPER_147,8
PAPER_1470,1
PAPER_1471,1
PAPER_1472,3
PAPER_1473,2
PAPER_1474,1
PAPER_1475,1
PAPER_1476,1
PAPER_1477,1
PAPER_1478,3
PAPER_1479,3
PAPER_148,5
PAPER_1480,5
PAPER_1481,2
PAPER_1482,1
PAPER_1483,15
PAPER_1484,3
PAPER_1485,1
PAPER_1486,7
PAPER_1487,1
PAPER_1488,3
PAPER_1489,1
PAPER_149,5
PAPER_1490,2
PAPER_1491,1
PAPER_1492,1
PAPER_1493,1
PAPER_1494,89
PAPER_1495,1
PAPER_1496,1
PAPER_1497,8
PAPER_1498,3
PAPER_1499,1
PAPER_150,5
PAPER_1500,6
PAPER_1501,2
PAPER_1502,1
PAPER_1503,6
PAPER_1504,4
PAPER_1505,3
PAPER_1506,14
PAPER_1507,6
PAPER_1508,1
PAPER_1509,2
PAPER_151,4
PAPER_1510,2
PAPER_1511,3
PAPER_1512,7
PAPER_1513,5
PAPER_1514,2
PAPER_1515,10
PAPER_1516,10
PAPER_1517,10
PAPER_1518,17
PAPER_1519,1
PAPER_152,7
PAPER_1520,3
PAPER_1521,82
PAPER_1522,66
PAPER_1523,1
PAPER_1524,2
PAPER_1525,1
PAPER_1526,1
PAPER_1527,1
PAPER_1528,1
PAPER_1529,1
PAPER_153,7
PAPER_1530,1
PAPER_1531,1
PAPER_1532,2
PAPER_1533,2
PAPER_1534,1
PAPER_1535,1
PAPER_1536,5
PAPER_1537,9
PAPER_1538,1
PAPER_1539,2
PAPER_154,7
PAPER_1540,1
PAPER_1541,1
PAPER_1542,2
PAPER_1543,1
PAPER_1544,5
PAPER_1545,1
PAPER_1546,1
PAPER_1547,1
PAPER_1548,1
PAPER_1549,3
PAPER_155,9
PAPER_1550,1
PAPER_1551,1
PAPER_1552,9
PAPER_1553,7
PAPER_1554,1
PAPER_1555,1
PAPER_1556,2
PAPER_1557,1
PAPER_1558,2
PAPER_1559,2
PAPER_156,6
PAPER_1560,1
PAPER_1561,1
PAPER_1562,1
PAPER_1563,1
PAPER_1564,1
PAPER_1565,1
PAPER_1566,1
PAPER_1567,1
PAPER_1568,1
PAPER_1569,1
PAPER_157,7
PAPER_1570,1
PAPER_1571,1
PAPER_1572,2
PAPER_1573,12
PAPER_1574,1
PAPER_1575,1
PAPER_1576,1
PAPER_1577,1
PAPER_1578,1
PAPER_1579,1
PAPER_158,2
PAPER_1580,1
PAPER_1581,2
PAPER_1582,1
PAPER_1583,1
PAPER_1584,1
PAPER_1585,1
PAPER_1586,1
PAPER_1587,1
PAPER_1588,1
PAPER_1589,1
PAPER_159,2
PAPER_1590,1
PAPER_1591,1
PAPER_1592,2
PAPER_1593,1
PAPER_1594,1
PAPER_1595,1
PAPER_1596,1
PAPER_1597,1
PAPER_1598,1
PAPER_1599,1
PAPER_160,2
PAPER_1600,1
PAPER_1601,2
PAPER_1602,1
PAPER_1603,1
PAPER_1604,1
PAPER_1605,1
PAPER_1606,1
PAPER_1607,1
PAPER_1608,1
PAPER_1609,1
PAPER_161,5
PAPER_1610,1
PAPER_1611,1
PAPER_1612,1
PAPER_1613,1
PAPER_1614,1
PAPER_1615,1
PAPER_1616,5
PAPER_1617,6
PAPER_1618,7
